Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10344.0000,8.8647,96.9013,100.2983,47.1703,24.6711,1.0179,0.9628,0.3786
10344.5000,8.8461,103.6819,101.7047,46.5867,25.0762,0.9378,0.8766,0.3769
10345.0000,8.8274,106.5973,102.3714,46.8258,25.2890,0.8553,0.8515,0.3761
10345.5000,8.8088,107.3694,103.0382,47.0650,25.2134,0.7723,0.8416,0.3760
10346.0000,8.7289,107.3566,103.7049,47.3041,24.7866,0.7527,0.8318,0.3758
10346.5000,8.6081,102.7543,104.3717,44.9188,22.9547,0.7490,0.7798,0.3700
10347.0000,8.4872,94.1673,100.5687,41.6557,22.5644,0.7454,0.7279,0.3556
10347.5000,8.3664,87.6185,87.1082,36.5183,23.1351,1.0226,0.7437,0.3413
10348.0000,8.2456,81.9452,70.0768,29.2282,25.4536,1.4870,0.7596,0.3119
10348.5000,8.2392,83.3474,59.8514,23.7333,27.0916,2.8497,0.7546,0.2810
10349.0000,8.2329,84.7495,55.5966,22.9165,27.9848,3.3557,0.7358,0.2460
10349.5000,8.2265,86.1517,55.3221,24.6563,28.4496,3.3075,0.7099,0.2226
10350.0000,8.2201,87.0426,55.8084,25.5017,28.6287,3.2594,0.6554,0.2089
10350.5000,8.2138,87.6041,56.8020,26.2866,28.8078,3.0453,0.6009,0.1980
10351.0000,8.2074,87.8632,57.7956,26.8298,28.3414,2.5638,0.4832,0.1877
10351.5000,8.2010,88.1223,58.7892,27.3729,27.4448,2.0546,0.4343,0.1820
10352.0000,8.1947,88.3814,60.0907,27.9161,26.5646,1.5394,0.4225,0.1775
10352.5000,8.1883,88.5663,61.5977,28.2706,25.6953,1.0154,0.4345,0.1758
10353.0000,8.1819,88.6399,63.1046,28.5780,26.5759,0.8949,0.3822,0.1781
10353.5000,8.1756,88.7136,64.6115,28.8854,25.9416,1.2629,0.3503,0.1804
10354.0000,8.1692,88.7873,63.7031,29.4177,25.3074,1.8162,0.3235,0.1827
10354.5000,8.1628,88.9040,62.7947,30.0062,24.5284,1.6432,0.3236,0.1801
10355.0000,8.1565,89.1928,61.0936,30.2366,24.9131,1.4703,0.3301,0.1783
10355.5000,8.1524,89.4817,60.6758,29.9298,26.0977,1.1991,0.3464,0.1776
10356.0000,8.1518,89.5431,62.1827,29.6229,25.6524,0.9035,0.3626,0.1769
10356.5000,8.1512,88.6948,63.6896,29.4073,25.2071,0.9406,0.3737,0.1859
10357.0000,8.1506,87.8464,66.3395,29.5560,24.5092,1.0608,0.3771,0.1973
10357.5000,8.1500,87.5567,68.9894,29.7048,23.7482,1.5473,0.3804,0.1993
10358.0000,8.1494,87.6393,71.7881,29.8535,22.2311,1.8124,0.3874,0.2013
10358.5000,8.1488,87.7219,75.1822,29.9529,20.9900,1.7487,0.3953,0.2016
10359.0000,8.1482,87.8046,72.3261,29.8549,22.9948,1.5206,0.4031,0.1956
10359.5000,8.1475,88.3744,69.8842,29.7569,25.1238,1.2662,0.4136,0.1936
10360.0000,8.1469,89.0661,68.5875,29.8999,26.4160,1.1572,0.4278,0.2012
10360.5000,8.1521,89.0534,67.2908,30.4043,26.1762,1.2092,0.4413,0.2136
10361.0000,8.1801,89.0408,76.3670,30.5821,23.2596,1.4044,0.4535,0.2232
10361.5000,8.2081,89.0282,76.8439,30.8920,22.1732,1.4517,0.4657,0.2287
10362.0000,8.2361,89.0155,77.3209,29.7671,20.8700,1.4990,0.4779,0.2341
10362.5000,8.2641,87.8706,76.3740,30.2196,20.5120,1.5463,0.5194,0.2443
10363.0000,8.4068,89.0985,75.6504,30.6720,20.2810,1.5496,0.5682,0.2616
10363.5000,8.5495,93.8858,78.4656,32.9885,19.7640,1.3768,0.6122,0.2767
10364.0000,8.7461,100.6481,88.2859,38.1908,21.6008,1.1169,0.6490,0.3038
10364.5000,9.0235,107.6103,97.4963,43.5277,22.0055,0.8192,0.6858,0.3305
10365.0000,8.8740,112.7309,98.2701,44.7031,22.9653,0.6307,0.7226,0.3504
10365.5000,8.7032,104.6458,96.8062,42.7984,25.0688,0.7025,0.7592,0.3562
10366.0000,8.5324,93.2593,94.7827,35.5265,20.3588,0.9831,0.7946,0.3490
10366.5000,8.4604,87.9950,92.6804,33.7125,15.6488,1.1308,0.8300,0.3438
10367.0000,8.4543,83.2514,90.2622,26.9509,12.3776,1.2785,0.8655,0.3469
10367.5000,8.5826,80.1967,85.3078,25.5124,11.9578,2.3166,0.8833,0.3499
10368.0000,8.9099,83.8973,80.4741,24.0740,14.6676,2.1987,0.9012,0.3560
10368.5000,9.2270,90.4333,91.3409,25.3865,20.5448,1.6674,0.9190,0.3642
10369.0000,9.4128,102.3328,96.0481,38.9523,22.4955,1.1721,0.9369,0.3694
10369.5000,9.5658,105.2646,98.5258,43.4266,23.7442,0.8693,0.8407,0.3726
10370.0000,9.2887,104.6327,98.2443,46.0277,23.9398,0.8088,0.8304,0.3757
10370.5000,9.1078,103.1097,97.9628,46.6342,23.9062,0.7969,0.8201,0.3789
10371.0000,8.9686,98.7854,97.5428,46.5699,22.9556,0.7832,0.7916,0.3796
10371.5000,8.9751,93.6644,97.0305,46.3088,22.4285,0.7683,0.7910,0.3785
10372.0000,8.9815,93.6516,96.5183,45.6086,21.9014,0.7598,0.8088,0.3775
10372.5000,8.9682,94.8246,96.0286,44.9083,21.3743,0.7555,0.8267,0.3764
10373.0000,8.9252,96.7880,95.5730,45.2784,21.3529,0.7512,0.8259,0.3754
10373.5000,8.8821,97.4671,95.1174,45.6485,22.7521,0.7469,0.8204,0.3743
10374.0000,8.8391,96.2195,94.6617,46.8098,24.2472,0.7425,0.8149,0.3732
10374.5000,8.6502,94.8112,88.6678,45.6917,24.7879,0.7942,0.7703,0.3721
10375.0000,8.4612,92.7599,81.6582,43.9543,25.3286,0.8458,0.6997,0.3588
10375.5000,8.2723,90.7085,75.2020,39.8661,22.9950,1.6318,0.6291,0.3423
10376.0000,8.1734,88.6572,68.8359,33.5646,22.0172,2.2861,0.5584,0.3053
10376.5000,8.0745,85.5390,62.4924,29.0954,20.9309,3.0463,0.5046,0.2469
10377.0000,8.1063,85.1203,56.1489,29.1025,24.0203,2.6328,0.4549,0.2316
10377.5000,8.1708,86.5012,60.5620,29.6810,23.5462,2.5139,0.4052,0.2162
10378.0000,8.3003,87.8822,64.9751,29.4384,24.6247,2.3949,0.4092,0.2244
10378.5000,8.5272,92.0207,69.3882,33.0942,23.1966,2.2760,0.4131,0.2379
10379.0000,8.7541,96.1591,90.1959,39.4268,22.3543,1.5153,0.4385,0.2549
10379.5000,9.1390,100.3887,95.6281,43.4281,22.6291,0.9394,0.4783,0.2718
10380.0000,9.3799,104.6790,95.5477,42.8016,22.5327,0.5938,0.5268,0.3518
10380.5000,8.8967,101.9487,92.0356,38.4219,25.7510,0.7339,0.6103,0.3593
10381.0000,8.7432,99.2183,90.1152,38.6522,27.4348,0.9600,0.6938,0.3667
10381.5000,8.5897,92.5020,90.6698,41.8472,19.1464,1.1607,0.7772,0.3617
10382.0000,8.9977,93.1291,91.2245,42.5717,17.2316,1.0758,0.8520,0.3567
10382.5000,8.6990,93.7562,85.6479,38.9625,19.1619,0.9571,0.8916,0.3517
10383.0000,8.4940,94.3834,82.1353,30.5301,21.9399,1.0694,0.9312,0.3359
10383.5000,8.3815,93.7863,79.7850,29.3054,22.3901,1.1818,0.8729,0.3175
10384.0000,8.4076,92.3730,79.1782,35.0616,22.0811,1.2997,0.7903,0.2928
10384.5000,8.2615,90.7002,74.9939,35.7679,19.7005,1.4260,0.5724,0.2848
10385.0000,8.0806,88.6379,65.1632,34.2259,20.9029,1.5057,0.4872,0.2701
10385.5000,8.0817,86.5755,59.8388,30.2230,22.3776,1.5194,0.4350,0.2509
10386.0000,8.0828,84.5132,55.2844,30.0060,23.8552,1.2423,0.3828,0.2253
10386.5000,8.0839,83.7894,55.3444,28.5710,25.3449,0.9089,0.3557,0.2049
10387.0000,8.0850,83.9579,57.7105,27.5065,24.8462,0.7887,0.3348,0.1930
10387.5000,8.0861,84.1264,60.0766,27.9242,24.3475,0.8834,0.3149,0.1840
10388.0000,8.0872,84.2949,57.8599,28.3418,23.5504,1.4701,0.2965,0.1801
10388.5000,8.0884,84.6649,56.1925,28.5529,23.3137,1.7125,0.3129,0.1796
10389.0000,8.0895,85.1693,56.7225,28.6262,24.2159,1.7118,0.3294,0.1792
10389.5000,8.0906,85.6736,57.2526,28.7787,24.9215,1.5877,0.3458,0.1789
10390.0000,8.0917,85.8216,57.7826,29.0498,25.4961,1.6111,0.3558,0.1787
10390.5000,8.0928,85.8804,57.7828,29.2122,25.8200,1.7328,0.3401,0.1784
10391.0000,8.0939,85.9392,57.6506,29.2269,25.5472,1.8545,0.3244,0.1782
10391.5000,8.0950,85.9980,57.5184,29.3038,25.6216,1.8689,0.3155,0.1784
10392.0000,8.0961,86.0568,57.2369,28.7093,25.1643,1.8174,0.3083,0.1791
10392.5000,8.1506,86.1156,56.9555,28.4038,24.5930,1.6100,0.3182,0.1797
10393.0000,8.2051,86.1744,57.7517,28.2126,24.1847,1.4026,0.3540,0.1804
10393.5000,8.2596,85.3296,59.7772,23.9126,23.7764,1.1220,0.3897,0.1810
10394.0000,8.3140,80.8701,60.2541,18.5854,24.1544,1.0163,0.4324,0.1913
10394.5000,8.4005,76.4106,60.7311,18.3806,16.7904,1.6665,0.5033,0.2040
10395.0000,8.6148,70.6242,61.2080,8.4032,8.9566,2.5406,0.5741,0.2305
10395.5000,8.8292,63.5236,72.1706,14.0053,11.0443,3.8713,0.6964,0.2603
10396.0000,9.0436,70.9118,83.1583,32.7932,8.9355,3.0741,0.8438,0.3105
10396.5000,9.2580,82.3832,88.1877,40.0195,25.5291,2.0502,1.0404,0.3427
10397.0000,9.4723,93.8070,90.5197,42.8551,26.8833,1.2654,1.1911,0.3526
10397.5000,9.9244,102.7480,89.9855,44.9394,28.2375,0.9310,1.1941,0.3626
10398.0000,9.9138,103.8580,87.9899,47.8735,26.2292,0.8594,1.0987,0.3726
10398.5000,9.9032,103.1655,87.1125,49.5344,27.8545,0.9205,1.0085,0.3773
10399.0000,9.6579,101.5495,87.4894,48.9669,27.1153,0.9816,0.9261,0.3808
10399.5000,9.4126,98.5482,89.9022,48.3994,27.8458,1.0427,0.8437,0.3842
10400.0000,9.4566,97.1392,92.2092,45.3523,28.5763,1.0590,0.8138,0.3855
10400.5000,9.1525,98.1186,94.3576,44.2334,29.3068,1.0078,0.8187,0.3862
10401.0000,8.9232,99.0980,97.5802,43.5230,28.6599,0.9643,0.8237,0.3870
10401.5000,8.9636,100.0775,99.8349,44.4469,25.7839,0.9514,0.8287,0.3877
10402.0000,9.0040,100.3602,100.2350,45.3056,23.5740,0.9385,0.8337,0.3885
10402.5000,9.0443,97.8561,96.5064,45.9031,22.5266,0.9649,0.8387,0.3888
10403.0000,9.1022,95.3519,96.9975,45.5854,21.4791,1.0011,0.8416,0.3892
10403.5000,9.1863,91.3624,97.4886,41.6068,19.6188,1.0373,0.8438,0.3895
10404.0000,9.2704,92.8955,98.6075,40.8434,20.8223,1.0735,0.8461,0.3898
10404.5000,9.3544,95.9020,99.7264,42.2234,21.0231,1.0571,0.8484,0.3901
10405.0000,9.4385,98.9086,100.8453,43.6034,19.9693,1.0055,0.8586,0.3904
10405.5000,9.8947,100.1335,101.9642,42.8433,19.2897,0.9678,0.9005,0.3907
10406.0000,9.7137,100.2390,98.2359,42.0831,19.2068,0.9507,0.9424,0.3910
10406.5000,9.7632,97.6491,94.7189,41.3230,19.0814,0.9337,1.0014,0.3900
10407.0000,9.8111,95.0592,94.5348,40.5629,18.1887,0.9166,1.0863,0.3882
10407.5000,9.8586,88.2178,93.5588,40.1857,13.0735,0.9716,1.1713,0.3863
10408.0000,9.8372,79.0742,89.4155,23.8524,10.8121,1.3147,1.2562,0.3824
10408.5000,9.7987,74.0612,75.4657,21.0694,9.6355,3.2812,1.3778,0.3753
10409.0000,9.7601,75.3938,71.4624,20.4236,10.5378,3.3186,1.4685,0.3683
10409.5000,9.7216,78.7462,67.4591,,,2.7531,1.4992,0.3613
10410.0000,,,,,,2.1876,,0.3575
10410.5000,,,,,,1.7534,,0.3545
10411.0000,,,,,,,,0.3613
10411.5000,,,,,,,,
10412.0000,,,,,,,,
