Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10229.0000,10.8684,115.0490,101.4888,46.6873,24.5842,0.7673,0.6160,0.3877
10229.5000,11.3616,116.8490,99.4727,50.5003,28.0484,0.7564,0.6414,0.3878
10230.0000,11.7623,114.9272,98.0356,53.6122,31.2177,0.7454,0.6667,0.3879
10230.5000,11.5013,110.5241,97.4668,55.6286,33.6312,0.8265,0.6921,0.3881
10231.0000,11.1040,106.1210,96.5054,56.0018,35.9194,0.9557,0.7436,0.3883
10231.5000,10.0417,98.8622,95.4459,51.8691,31.0789,1.0320,0.8017,0.3888
10232.0000,10.0331,98.7205,95.0506,47.4258,25.8665,1.1083,0.8633,0.3905
10232.5000,10.1016,98.5788,95.6515,42.5111,23.3348,1.1761,0.9389,0.3898
10233.0000,10.0033,98.0676,97.7246,39.4820,21.8838,1.2418,1.0034,0.3856
10233.5000,9.5746,96.0780,100.7790,38.4839,23.4074,1.4025,1.0652,0.3778
10234.0000,9.5050,94.0885,95.7642,37.5221,22.5244,1.3721,1.1270,0.3656
10234.5000,9.6301,94.6335,90.4216,36.7053,21.6414,1.2350,1.1888,0.3630
10235.0000,9.7333,95.1784,89.1435,37.6837,21.5110,1.1287,1.2505,0.3582
10235.5000,9.8037,95.1621,92.5994,39.9856,21.8824,1.1132,1.3582,0.3519
10236.0000,9.7958,94.3038,96.0554,40.8234,19.6660,1.3147,1.4773,0.3359
10236.5000,9.4747,93.4455,93.3351,40.4282,17.4680,1.8416,1.5153,0.3157
10237.0000,9.0033,93.0612,87.5955,38.0612,17.2811,2.3788,1.5533,0.2655
10237.5000,8.6842,93.3879,75.6966,35.6125,19.6832,3.0533,1.5913,0.2484
10238.0000,8.4032,93.7146,67.7430,32.7558,21.9284,3.7068,1.7252,0.2390
10238.5000,8.3838,93.9357,57.6359,29.4639,22.2928,3.5046,1.8832,0.2299
10239.0000,8.3644,93.7346,53.8964,26.6578,22.6572,3.3025,2.0368,0.2208
10239.5000,8.3450,93.5335,51.6516,26.2295,23.0215,3.1296,2.1837,0.2142
10240.0000,8.3437,93.3324,51.6490,25.8013,23.3859,3.0737,2.4553,0.2090
10240.5000,8.3468,93.1313,51.6464,25.1880,23.7458,3.0179,3.2258,0.2045
10241.0000,8.3500,93.0818,51.6438,24.2971,24.2956,3.8775,3.9963,0.2004
10241.5000,8.3545,93.2598,50.6991,23.1800,25.6047,6.6286,4.7668,0.1972
